,track_uri,track_id,track_name,album_release_date,track_year,popular_year
0,spotify:track:6naxalmIoLFWR0siv8dnQQ,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,2000-05-16,2000,2000
1,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,1999-06-01,1999,2000
2,spotify:track:3y4LxiYMgDl4RethdzpmNe,3y4LxiYMgDl4RethdzpmNe,Breathe,1999-11-09,1999,2000
3,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,2000-01-01,2000,2000
4,spotify:track:62bOmKYxYg7dhrC6gH9vFn,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,2000-03-21,2000,2000
5,spotify:track:5Mmk2ii6laakqfeCT7OnVD,5Mmk2ii6laakqfeCT7OnVD,Thong Song,1999-01-01,1999,2000
6,spotify:track:3yfqSUWxFvZELEM4PmlwIR,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,2000-05-23,2000,2000
7,spotify:track:7oQSevUCbYs4QawXTHQVV1,7oQSevUCbYs4QawXTHQVV1,Rock DJ,2013-01-01,2013,2000
8,spotify:track:7H6ev70Weq6DdpZyyTmUXk,7H6ev70Weq6DdpZyyTmUXk,Say My Name,1999-07-27,1999,2000
9,spotify:track:3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,Yellow,2000-07-10,2000,2000
10,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,60a0Rd6pjrkxjPbaKzXjfq,In the End,2000-10-24,2000,2000
11,spotify:track:4LwU4Vp6od3Sb08CsP99GC,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,1999-11-16,1999,2000
12,spotify:track:64BbK9SFKH2jk86U3dGj2P,64BbK9SFKH2jk86U3dGj2P,Otherside,1999-06-08,1999,2000
13,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,2000,2000,2000
14,spotify:track:49X0LAl6faAusYq02PRAY6,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,2001,2001,2000
15,spotify:track:5XVjNRubJUW0iPhhSWpLCj,5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,2000-10-01,2000,2000
16,spotify:track:25FTMokYEbEWHEdss5JLZS,25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,1999-02-15,1999,2000
17,spotify:track:52LJ3hyknOijCrE5gCD0rE,52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,2001-05-23,2001,2000
18,spotify:track:2avKuMN2QXkaG9vvHa2JLt,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,2000-10-17,2000,2000
19,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,1999-11-16,1999,2000
20,spotify:track:35o9a4iAfLl5jRmqMX9c1D,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,2000-11-21,2000,2000
21,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,0LWkaEyQRkF0XAms8Bg1fC,Party Up,1999-12-21,1999,2000
22,spotify:track:5p0ietGkLNEqx1Z7ijkw5g,5p0ietGkLNEqx1Z7ijkw5g,My Love,2000,2000,2000
23,spotify:track:0gPQTLaqHDgdupKEok7J2x,0gPQTLaqHDgdupKEok7J2x,7 Days,2000-08-14,2000,2000
24,spotify:track:6qc34bnVOyqGDPni8H5W0U,6qc34bnVOyqGDPni8H5W0U,Amazed,1999,1999,2000
25,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,1ZozJfi8u9cO2Ob8KwiwNT,Higher,1999-01-01,1999,2000
26,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",1999-07-27,1999,2000
27,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,2001-01-01,2001,2000
28,spotify:track:3BsaRV5QIulYz2lV9WWa8T,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,1999-05-18,1999,2000
29,spotify:track:7m97yKVzPpXV9Z4ezEziOD,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',1999-12-28,1999,2000
30,spotify:track:3wMUvT6eIw2L5cZFG1yH9j,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),2000-06-27,2000,2000
31,spotify:track:5OQGeJ1ceykovrykZsGhqL,5OQGeJ1ceykovrykZsGhqL,Breathless,2000-07-17,2000,2000
32,spotify:track:2AogRMqARWyUP7VQ3gmSoY,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,2001-01-30,2001,2000
33,spotify:track:2AW37v0bDyuOzGP3XnmFuA,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,2000-03-21,2000,2000
34,spotify:track:7f1Dmr246cJ9uQYdbplTbh,7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,2000,2000,2000
35,spotify:track:2TTYIwTM2iLC1YOyHuhRMt,2TTYIwTM2iLC1YOyHuhRMt,Lucky,2000-05-16,2000,2000
36,spotify:track:3mNecsYFb6LQg7822DPXCP,3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,2000-05-16,2000,2000
37,spotify:track:1m2xMsxbtxv21Brome189p,1m2xMsxbtxv21Brome189p,I Wanna Know,2000-04-18,2000,2000
38,spotify:track:6Wnlq1Pu3I0BajLvxn05Vr,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,2001-07-07,2001,2000
39,spotify:track:3XKIUb7HzIF1Vu9usunMzc,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),1999-06-15,1999,2000
40,spotify:track:5s4catxeZsaWFnOrvrXZHf,5s4catxeZsaWFnOrvrXZHf,That's the Way It Is,1999,1999,2000
41,spotify:track:7GHKA8GIMcND6c5nN1sFnD,7GHKA8GIMcND6c5nN1sFnD,Sexbomb,1999,1999,2000
42,spotify:track:69XUpOpjzDKcfdxqZebGiI,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",2001-05-01,2001,2000
43,spotify:track:46n2EGFnPC3tzWCN1Aqe26,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,2000-03-21,2000,2000
44,spotify:track:7A0apkTSTvMbSI7yplcmlh,7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,1999,1999,2000
45,spotify:track:1H5tvpoApNDxvxDexoaAUo,1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,2000,2000,2000
46,spotify:track:65B1tEOv5W294uCKbmEcFV,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,2000-01-01,2000,2000
47,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,7JKEA8xYDoFp4q0QBW2PGg,Shackles (Praise You),2000,2000,2000
48,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,1999-01-01,1999,2000
49,spotify:track:5PMKzsUsTpZZGsCcJBuhP2,5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999-05-29,1999,2000
50,spotify:track:0ZqveF2rEFlz2oqF2xrriP,0ZqveF2rEFlz2oqF2xrriP,The Riddle,1999,1999,2000
51,spotify:track:1sxUaLi0G2vB7dl4ogtCxH,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,1999-11-23,1999,2000
52,spotify:track:6q4aoWgTQ8td2AvqQXuFqm,6q4aoWgTQ8td2AvqQXuFqm,Take A Picture,1999-08-24,1999,2000
53,spotify:track:3w8Mw9GHYepoTWOSdiyosj,3w8Mw9GHYepoTWOSdiyosj,Incomplete,1999-01-01,1999,2000
54,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,2000-08-24,2000,2000
55,spotify:track:1VuBmEauSZywQVtqbxNqka,1VuBmEauSZywQVtqbxNqka,Beautiful Day,2000-01-01,2000,2000
56,spotify:track:5Aa33rAPkp7f7l1aVqsHO8,5Aa33rAPkp7f7l1aVqsHO8,Fool Again,1999-11-01,1999,2000
57,spotify:track:4Do68W4FWO2hRAJCzG1lus,4Do68W4FWO2hRAJCzG1lus,I Turn to You,1999,1999,2000
58,spotify:track:4cKGldbhGJniI8BrB3K6tb,4cKGldbhGJniI8BrB3K6tb,Everything You Want,1999-06-14,1999,2000
59,spotify:track:0UzsDmdpw0Q14KU4hieQss,0UzsDmdpw0Q14KU4hieQss,Fill Me In,2000-08-14,2000,2000
60,spotify:track:1sjrDQXqAa9V07FjKIlAQ4,1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),2000-09-19,2000,2000
61,spotify:track:046MBhhgQJJghnbgZCkaAR,046MBhhgQJJghnbgZCkaAR,I Need You,2001-01-30,2001,2000
62,spotify:track:3PbHle8KhJp6GuO1jLdEmQ,3PbHle8KhJp6GuO1jLdEmQ,Be Like That,2000,2000,2000
63,spotify:track:5bGmuxShUba9maPswDnhCs,5bGmuxShUba9maPswDnhCs,What a Girl Wants,1999,1999,2000
64,spotify:track:4pV49P2v3sxI0XYjUTmOl1,4pV49P2v3sxI0XYjUTmOl1,Shalala Lala,2000-03-13,2000,2000
65,spotify:track:0s46SltT4On0Z6kglK1I5c,0s46SltT4On0Z6kglK1I5c,I Just Wanna Love U (Give It 2 Me),2000-10-31,2000,2000
66,spotify:track:4l1MNtoCiTxBwf6yxD7kFd,4l1MNtoCiTxBwf6yxD7kFd,Born to Make You Happy,1999-01-12,1999,2000
67,spotify:track:63nkNgHkmfgjElTEnCzKYU,63nkNgHkmfgjElTEnCzKYU,Rise,2001-01-01,2001,2000
68,spotify:track:1RS3LStQYhju50eBdD9Uul,1RS3LStQYhju50eBdD9Uul,Thank God I Found You (feat. Joe & 98°),1999-11-02,1999,2000
69,spotify:track:1uPrIHgYztXSkkcts9jet8,1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,2000,2000,2000
70,spotify:track:79EAVfOpzgfHx3IE2BVFQv,79EAVfOpzgfHx3IE2BVFQv,Never Be The Same Again,1999,1999,2000
71,spotify:track:1vlTMKVV0FxG6CxGTmSY3t,1vlTMKVV0FxG6CxGTmSY3t,Life Is A Rollercoaster,2000-01-01,2000,2000
72,spotify:track:2WfhlEjoUII31H6imnQdvF,2WfhlEjoUII31H6imnQdvF,No More,2000-08-22,2000,2000
73,spotify:track:6vgN6KGstss0GnBbKlMNK9,6vgN6KGstss0GnBbKlMNK9,The Way You Love Me,1999-11-09,1999,2000
74,spotify:track:1rj0XawWJNisX7SGYexowJ,1rj0XawWJNisX7SGYexowJ,Gotta Tell You,2000,2000,2000
75,spotify:track:0HNXnhNZZtRZFLhP4hfyCP,0HNXnhNZZtRZFLhP4hfyCP,Hey Baby (Radio Mix),2010-04-25,2010,2000
76,spotify:track:6dJ2mSRaKE9ctYw9qWNGWQ,6dJ2mSRaKE9ctYw9qWNGWQ,There You Go,2000-04-04,2000,2000
77,spotify:track:0WHOPmOuQKuu05k4g3UTvk,0WHOPmOuQKuu05k4g3UTvk,Wonderful,2000-01-01,2000,2000
